action,id,name,slug,image_filename,image_size,reason,new_slug
DEACTIVATE,4047,MN-Veteran-Global War on Terrorism-Expeditionary,mn-veteran-global-war-on-terrorism-expeditionary,mn-veteran-global-war-on-terrorism-expeditionary.jpg,22294,new image larger (135395 vs 22294 bytes),
KEEP,12282,MN - Veteran Global War On Terrorism Motorcycle,mn-veteran-global-war-on-terrorism-motorcycle-v1,mn-veteran-global-war-on-terrorism-motorcycle.png,101366,new image larger (101366 vs 20958 bytes),mn-veteran-global-war-on-terrorism-motorcycle
DEACTIVATE,4049,MN-Veteran-Global War on Terrorism-Motorcycle,mn-veteran-global-war-on-terrorism-motorcycle,mn-veteran-global-war-on-terrorism-motorcycle.jpg,20958,new image larger (101366 vs 20958 bytes),
KEEP,12283,MN - Veteran Global War On Terrorism Service,mn-veteran-global-war-on-terrorism-service-v1,mn-veteran-global-war-on-terrorism-service.png,136268,new image larger (136268 vs 22248 bytes),mn-veteran-global-war-on-terrorism-service
DEACTIVATE,4048,MN-Veteran-Global War on Terrorism-Service,mn-veteran-global-war-on-terrorism-service,mn-veteran-global-war-on-terrorism-service.jpg,22248,new image larger (136268 vs 22248 bytes),
KEEP,12285,MN - Veteran Gulf War Motorcycle,mn-veteran-gulf-war-motorcycle-v1,mn-veteran-gulf-war-motorcycle.png,97785,new image larger (97785 vs 42947 bytes),mn-veteran-gulf-war-motorcycle
DEACTIVATE,4051,MN-Veteran-Gulf War-Motorcycle,mn-veteran-gulf-war-motorcycle,mn-veteran-gulf-war-motorcycle.jpg,42947,new image larger (97785 vs 42947 bytes),
KEEP,12288,MN - Veteran Iraq War,mn-veteran-iraq-war-v1,mn-veteran-iraq-war.png,132710,new image larger (132710 vs 19664 bytes),mn-veteran-iraq-war
DEACTIVATE,4052,MN-Veteran-Iraq War,mn-veteran-iraq-war,mn-veteran-iraq-war.jpg,19664,new image larger (132710 vs 19664 bytes),
KEEP,12287,MN - Veteran Iraq War Motorcycle,mn-veteran-iraq-war-motorcycle-v1,mn-veteran-iraq-war-motorcycle.png,98113,new image larger (98113 vs 19107 bytes),mn-veteran-iraq-war-motorcycle
DEACTIVATE,4053,MN-Veteran-Iraq War-Motorcycle,mn-veteran-iraq-war-motorcycle,mn-veteran-iraq-war-motorcycle.jpg,19107,new image larger (98113 vs 19107 bytes),
KEEP,12291,MN - Veteran Korean Defense Service Medal,mn-veteran-korean-defense-service-medal-v1,mn-veteran-korean-defense-service-medal.png,137775,new image larger (137775 vs 24051 bytes),mn-veteran-korean-defense-service-medal
DEACTIVATE,4056,MN-Veteran-Korean Defense Service Medal,mn-veteran-korean-defense-service-medal,mn-veteran-korean-defense-service-medal.jpg,24051,new image larger (137775 vs 24051 bytes),
KEEP,12290,MN - Veteran Korean Defense Service Medal Motorcycle,mn-veteran-korean-defense-service-medal-motorcycle-v1,mn-veteran-korean-defense-service-medal-motorcycle.png,98646,new image larger (98646 vs 29094 bytes),mn-veteran-korean-defense-service-medal-motorcycle
DEACTIVATE,4057,MN-Veteran-Korean Defense Service Medal-Motorcycle,mn-veteran-korean-defense-service-medal-motorcycle,mn-veteran-korean-defense-service-medal-motorcycle.jpg,29094,new image larger (98646 vs 29094 bytes),
KEEP,12292,MN - Veteran Laos War Allied Vet,mn-veteran-laos-war-allied-vet-v1,mn-veteran-laos-war-allied-vet.png,134801,new image larger (134801 vs 22880 bytes),mn-veteran-laos-war-allied-vet
DEACTIVATE,4040,MN-Veteran-Laos War-Allied Vet,mn-veteran-laos-war-allied-vet,mn-veteran-laos-war-allied-vet.jpg,22880,new image larger (134801 vs 22880 bytes),
KEEP,12293,MN - Veteran Pearl Harbor Survivor,mn-veteran-pearl-harbor-survivor-v1,mn-veteran-pearl-harbor-survivor.png,141614,new image larger (141614 vs 23897 bytes),mn-veteran-pearl-harbor-survivor
DEACTIVATE,4059,MN-Veteran-Pearl Harbor Survivor,mn-veteran-pearl-harbor-survivor,mn-veteran-pearl-harbor-survivor.jpg,23897,new image larger (141614 vs 23897 bytes),
KEEP,12294,MN - Veteran Silver Star,mn-veteran-silver-star-v1,mn-veteran-silver-star.png,128885,new image larger (128885 vs 22227 bytes),mn-veteran-silver-star
